All Too Well,2681
Cornelia Street,2664
Cruel Summer,2646
Enchanted,2578
Getaway Car,2568
Blank Space,2548
State Of Grace,2524
New Romantics,2506
Style,2482
Clean,2469
The Archer,2466
Lover,2438
Wildest Dreams,2431
Out Of The Woods,2428
Death By A Thousand Cuts,2398
Holy Ground,2393
Daylight,2381
Long Live,2353
You Belong With Me,2341
I Think He Knows,2324
Love Story,2306
Treacherous,2303
Delicate,2302
Sparks Fly,2292
Call It What You Want,2264
I Know Places,2250
Red,2234
Back To December,2232
I Did Something Bad,2232
False God,2232
Last Kiss,2226
Miss Americana & The Heartbreak Prince,2225
King Of My Heart,2213
Dancing With Our Hands Tied,2211
Don't Blame Me,2175
Afterglow,2168
All You Had To Do Was Stay,2143
Begin Again,2142
This Love,2141
Dear John,2141
Fearless,2123
Safe & Sound,2123
Haunted,2113
The Story Of Us,2112
Christmas Tree Farm,2110
Wonderland,2104
Our Song,2092
Forever & Always,2091
You Are In Love,2090
Should've Said No,2073
Ours,2069
Beautiful Ghosts,2067
22,2063
Mine,2062
I Knew You Were Trouble,2046
I Wish You Would,2044
I Almost Do,2043
Paper Rings,2042
I Don't Wanna Live Forever,2019
Dress,2018
...Ready For It?,2012
Shake It Off,2006
Gorgeous,2004
Sweeter than Fiction,2000
We Are Never Ever Getting Back Together,1994
Eyes Open,1992
Crazier,1991
New Year's Day,1987
Bad Blood ft. Kendrick Lamar,1962
Ronan,1957
Today Was a Fairytale,1956
Babe,1950
Sad Beautiful Tragic,1949
The Lucky One,1945
This Is Why We Can't Have Nice Things,1941
White Horse,1939
Everything Has Changed,1938
Only the Young,1937
London Boy,1929
Beautiful Eyes,1923
Soon You'll Get Better,1920
Starlight,1918
I Heart ?,1912
Tim McGraw,1886
Lover ft. Shawn Mendes,1883
Christmas Must Be Something More,1874
Come Back... Be Here,1871
Christmases When You Were Mine,1868
Mean,1867
How You Get The Girl,1852
The Way I Loved You,1806
Speak Now,1782
The Last Time,1779
Fifteen,1759
Teardrops On My Guitar,1756
The Moment I Knew,1729
You Need To Calm Down,1728
End Game,1728
So It Goes...,1713
Welcome To New York,1712
Cold As You,1696
Better Than Revenge,1670
Never Grow Up,1667
The Best Day,1661
You're Not Sorry,1659
Picture To Burn,1631
Stay Stay Stay,1629
Breathe,1624
The Man,1600
I'm Only Me When I'm With You,1544
I Forgot That You Existed,1543
Mary's Song (Oh My My My),1540
Innocent,1540
Hey Stephen,1531
Look What You Made Me Do,1529
Jump Then Fall,1527
Tell Me Why,1496
ME!,1481
Change,1477
It's Nice To Have A Friend,1462
Untouchable,1431
The Other Side Of The Door,1420
Bad Blood,1408
If This Was A Movie,1382
Stay Beautiful,1371
Come In With The Rain,1333
Tied Together With A Smile,1312
Girl At Home,1302
Invisible,1300
A Place In This World,1270
Superman,1264
Superstar,1196
The Outside,1193
A Perfectly Good Heart,1150
